name,element,title,image_url

"Aether","Viajante","Viajante de outro mundo","https://static.wikia.nocookie.net/gensin-impact/images/7/71/Character_Traveler_Thumb.png"

"Aino","Hydro","Clinky-Clank Gadgets-A-Gogo","https://upload-os-bbs.mihoyo.com/game_record/genshin/character_icon/UI_AvatarIcon_Aino.png"

"Albedo","Geo","Kreideprinz","https://upload-os-bbs.mihoyo.com/game_record/genshin/character_icon/UI_AvatarIcon_Albedo.png"

"Alhaitham","Dendro","Admonishing Instruction","https://upload-os-bbs.mihoyo.com/game_record/genshin/character_icon/UI_AvatarIcon_Alhatham.png"

"Aloy","Cryo","Savior From Another World","https://upload-os-bbs.mihoyo.com/game_record/genshin/character_icon/UI_AvatarIcon_Aloy.png"

"Alyosha","Electro","Swift-Striding Hound","https://upload-os-bbs.mihoyo.com/game_record/genshin/character_icon/UI_AvatarIcon_Alyosha.png"

"Amber","Pyro","Gliding Champion","https://upload-os-bbs.mihoyo.com/game_record/genshin/character_icon/UI_AvatarIcon_Ambor.png"

"Arataki Itto","Geo","Hanamizaka Heroics","https://upload-os-bbs.mihoyo.com/game_record/genshin/character_icon/UI_AvatarIcon_Itto.png"

"Arlecchino","Pyro","Dire Balemoon","https://upload-os-bbs.mihoyo.com/game_record/genshin/character_icon/UI_AvatarIcon_Arlecchino.png"

"Baizhu","Dendro","Beyond Mortality","https://upload-os-bbs.mihoyo.com/game_record/genshin/character_icon/UI_AvatarIcon_Baizhuer.png"

"Barbara","Hydro","Shining Idol","https://upload-os-bbs.mihoyo.com/game_record/genshin/character_icon/UI_AvatarIcon_Barbara.png"

"Beidou","Electro","Uncrowned Lord of the Ocean","https://upload-os-bbs.mihoyo.com/game_record/genshin/character_icon/UI_AvatarIcon_Beidou.png"

"Bennett","Pyro","Trial by Fire","https://upload-os-bbs.mihoyo.com/game_record/genshin/character_icon/UI_AvatarIcon_Bennett.png"

"Candace","Hydro","Golden Vow","https://upload-os-bbs.mihoyo.com/game_record/genshin/character_icon/UI_AvatarIcon_Candace.png"

"Charlotte","Cryo","Lens of Verity","https://upload-os-bbs.mihoyo.com/game_record/genshin/character_icon/UI_AvatarIcon_Charlotte.png"

